serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter grade,AP Classes ,stress,metro%,bus%,walk%,driven%,Drive yourself %,% find a teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,PE credits ,Sports Outside
601,M,6,11,No,5,Cereal,6,1,1,1,15:45:00,06:45:00,95,0,7,3,0,N/A,N/A,0,7,0,0,0,100,0,90,Math,Science,1,3,4,6,6,5,4,7,N/A,1,N/A
602,F,6,12,Vegetarian,5,"Yogurt,apple,aplleause, baN/AnN/A",6,1,10,1,17:30:00,05:30:00,95,1,0,0,0,N/A,N/A,0,9,0,50,0,50,0,60,"Diving IN, PE, Art",Math,1,3,6,7,3,7,2,6,N/A,1,N/A
603,F,6,11,No,0,"Bread, oranges",8,1.5,0,0.5,17:00:00,06:35:00,100,2,1,2,0,N/A,N/A,0,8,50,0,0,50,0,95,"Core, 3d art, dovomg om",Math,6,7,5,7,7,7,7,7,0,0,N/A
604,M,6,12,No,5,Breack ray,N/A,2,95,1,16:30:00,06:19:00,50,0,0,0,0,N/A,N/A,0,3,50,0,50,0,0,70,Core,Math,5,5,7,7,1,5,7,7,N/A,N/A,N/A
605,F,6,11,No,0,part tart,7,3,2.5,2,17:30:00,06:00:00,100,7,0.75,3,0,N/A,N/A,0,9,0,0,0,100,0,0,"Pe, Diving in","Math, Science, Core",7,7,7,7,1,7,4.5,7,N/A,N/A,N/A
606,M,6,11,No,5,"oatmeal, blueberries, rasperries, cornbread",9,1,5,1,15:30:00,06:40:00,95,0,0,0,0,N/A,N/A,0,3.5,0,0,0,100,0,85,math,Science,1,6,6,7,3,6,4,7,2,0,N/A
607,M,6,11,No,5,"waffles, strawberry, milk, cereal",10,2,85,0.666666667,16:46:00,07:00:00,94,5,0,0,0,N/A,N/A,0,8,50,0,0,50,0,20,"Math,Core",Science,1,7,6,7,2,7,6,7,N/A,N/A,N/A
608,M,6,11,No,5,"cereal, toast",8,2,20,0.166666667,15:30:00,07:50:00,75,0,2,2,0,N/A,N/A,0,4,0,0,0,100,0,89,"Core, Science",Math,1,6.9,7,7,7,6.5,7,7,0,0,N/A
609,F,6,11,Vegetarian,5,"toast,bagels, creeps",9,1.5,15,0.666666667,15:20:00,06:30:00,100,0,0,0,0,N/A,N/A,0,4,0,0,0,100,0,50,"math,reading",science,N/A,6,7,7,7,7,N/A,7,0,0,N/A
610,F,6,12,No,5,"cereal,toast,bagels,egg white omelet",9,2,15,0.666666667,17:00:00,06:30:00,100,0,1,0,0,N/A,N/A,0,4,0,0,0,100,0,50,math,science,N/A,6,7,7,7,7,N/A,7,0,0,N/A
611,F,6,11,Vegetarian,3,"fruit smoothie, milk",9,2,20,0.333333333,16:00:00,06:15:00,100,0,1,0,0,N/A,N/A,0,6,0,0,5,95,0,80,Math,Grammar,2,6,5,6,3,4,5,3,0,0,N/A
