,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
928,M,9,14,NO,5,WAFFLES,6,1,90,1,18:30:00,5:30:00,100,4,4,0,0,3.33,B+,0,1,100,0,0,0,0,100,History,Spanish,5,7,7,4,1,3,7,1,1,1,0
929,F,9,14,No,5,"orange juice, egg",6,1.5,90,1,15:30:00,6:30:00,95,1.5,2,0,36,3,B,0,7.5,100,0,0,0,0,95,"Math,Science, english",spanish,2,7,6,7,2,1,6,1,1,1,basketball
930,M,9,14,No,5,cereal,7.5,2.5,85,0.333333333333333,16:00:00,7:00:00,90,1,4,0,0,3.05,B-/B+,0,6.5,0,20,0,80,0,70,N/A,N/A,1,4,6,6,4,7,5,4,1.5,1,0
931,F,9,14,No,4,yogurt,7,2,40,0.6,17:00:00,6:00:00,90,0,0,0,0,4,A,0,5,0,0,0,100,0,N/A,"History, English",N/A,5,7,7,7,4,6,7,5,0,0,0
932,F,9,14,kosher,3,yogurt/banana,7.5,1.5,30,0.666666666666667,17:30:00,7:00:00,96,0,6,0,0,4.18,N/A,0,6,0,0,90,10,0,85,english,science,2,5,7,7,2,6,7,2,1,2,0
933,F,9,15,vegetarian,5,"yogurt, toast, oatmeal",6,2,100,1.25,16:00:00,6:45:00,90,0,6,0,0,4,A,0,5,100,0,0,100,0,60,N/A,N/A,5,7,6,7,2,7,4,6,1,2,dance
934,F,9,14,kosher,5,yogurt,7.5,2,20,0.5,15:40:00,6:40:00,90,0,1,0,0,4,A,0,7,0,0,100,0,0,80,english,N/A,6,7,7,7,2,N/A,7,2,1,2,israeli dance
935,F,9,14,vegetarian,2,yogurt,7,1.5,15,1,16:00:00,6:30:00,95,10,10,4,5,3,B,0,7,35,15,0,50,0,80,spanish,"science, Math",2,4,4,5,1,6,2,6,1,2,dance
936,M,9,14,no,5,"eggs,bacon, waffle, orange juice",7,1.5,50,0.75,16:00:00,5:30:00,80,0,3,0,0,4,A,0,7,25,25,25,25,0,80,english,N/A,6,6,7,5,2,4,2,1,2,0,0
937,M,9,14,no,5,cereal,"""NA""",1.5,10,1.5,19:00:00,6:30:00,95,21,3,0,0,3.4,N/A,,1,100,0,0,0,0,50,N/A,N/A,7,1,1,7,1,1,1,1,0,0,"""many"""
938,M,9,13,No,2,waffles,6,3,90,1.5,17:30:00,6:00:00,100,3,4,1,0,2.33,C+,0,3,75,0,25,0,0,100,english,ESS,7,7,7,7,5,5,7,7,2,0,0
939,M,9,14,No,2,bagel,10,2,30,2,16:45:00,6:30:00,100,1,4,0,0,3.4,N/A,0,4,100,0,0,0,0,N/A,"Science,Math",N/A,4,2,6,6,1,2,4,1,1,1,sailing
940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,F,9,14,no,1,"bagel, sausage",5,3,20,1,16:00:00,6:00:00,99,2,2,0,0,3.33,B+,0,8.5,50,0,50,0,0,85,History,ESS,6,7,5,7,7,6,7,7,6,0,0
942,M,9,15,no,3,"pizza,fruit",6.9,2,50,0.5,16:10:00,6:30:00,100,0,5,3,0,2.67,B-,0,9,0,0,50,50,0,75,,Math,4,7,7,7,5,5,7,4,1,1,0
943,F,9,14,doesnt eat red meat,5,oatmeal,8,1.5,30,1,16:00:00,7:00:00,80,0.5,0,3,0,4,A,0,5,100,0,0,0,0,50,Math,SPANISH,3,4,6,5,4,7,6,1,9,9,"figure skating, syncronized skating"
944,M,9,15,no,5,a bar,7,2,20,1,16:10:00,7:10:00,100,0,0,0,0,3,B,0,7,0,0,0,0,40,70,N/A,N/A,4,6,6,7,2,1,7,N/A,0,2,0
945,M,9,14,No,3,cereal,7,1,20,1,18:00:00,6:45:00,90,0,3,0,0,4,A,0,8,50,0,0,50,0,50,english,math,3,6,6,7,1,5,7,1,1,2,0
946,M,9,14,N/A,2,"waffles, bacon",4,2,30,1,18:30:00,5:45:00,90,10,2,6,20,N/A,N/A,0,9,100,0,0,0,0,N/A,N/A,Math,3,7,6,7,5,7,6,4,1,1,0
947,F,9,14,vegetarian,2,"milk, sandwich",5,2,50,2,19:00:00,6:00:00,90,0,5,4,15,3.3,N/A,0,5,57.1428571428572,28.5714285714286,14.2857142857143,0,0,N/A,art,english,3,5,6.5,7,7,7,6,7,6,3,0
948,M,9,15,N/A,5,beagel,8,3,100,2,16:10:00,6:30:00,100,1,0,0,0,3.2,N/A,0,5,0,50,0,50,0,40,science,spanish,2,7,6,7,5,6,5,N/A,1,4,tae kwan do
949,F,9,15,No,2,"toast, bagel, chi tea,late",6,4,15,1,18:30:00,6:45:00,80,7,0,0,0,3,B,0,5,50,0,0,50,0,40,N/A,N/A,5,6,1,5,3,6,1,1,3,0,Dance
950,M,9,15,No,4,"cereal,toast",7,3,10,0.2,17:50:00,7:20:00,100,0,0,0,0,N/A,N/A,0,7,50,0,50,0,0,60,N/A,N/A,2,1,7,5,4,4,4,5,4,2,0
