,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
1001,M,10,15,no,5,cereal,6,4,25,1.5,16:30:00,6:30:00,65,0,4,0,0,3.33,B+,0,7,50,10,0,40,0,75,English,History,4,6,7,6,5,6,6,7,1,2,fencing
1002,F,10,15,no,5,oatmeal,8,2,80,1,20:45:00,4:15:00,95,0,0,0,0,3.66,A-,0,7,0,0,0,100,0,99,n/a,n/a,6,6,5,6,1,6,6,6,3,0,swimming
1003,M,10,16,no,5,cereal,7.5,2.5,10,0.5,16:00:00,6:30:00,95,0,1,0,30,4.2,A+,0,5,0,30,0,70,0,70,Math,French,5,5,5,4,2,2,4,1,0,3,Cyclist
1004,F,10,16,no,5,waffles,8,2,50,1,17:00:00,6:20:00,70,0,14,0,0,3.3,B+,0,5,100,0,0,0,0,90,English,Spanish,6,6,7,6,4,6,6,5,1,0,water polo
1005,M,10,15,no,2,banana,5,4,30,2,17:00:00,5:30:00,100,3,1,1,0,3.7,A-,0,10,50,0,50,0,0,80,History,Chemistry,5,7,6,7,1,6,7,6,1,1,
1006,F,10,16,vegeterian,3,,7,4,0,5,18:30:00,6:30:00,90,0,4,0,0,3.66,A-,0,7,0,0,0,100,0,75,English,Math,3,7,6,7,5,6,7,6,2,0,
1007,F,10,15,no,5,cereal,7,3,100,1.5,18:00:00,6:00:00,100,0,4,0,0,4.2,A+,0,9,0,0,0,100,0,95,English,History,7,4,5,4,2,3,7,2,1,1,Ballet
1008,F,10,16,no,5,fruit,7,2,50,0.25,15:30:00,7:00:00,100,0,2,0,0,,,0,6,0,0,0,100,0,50,English,Math,3,5,7,5,6,n/a,6,5,3,6,running
1009,M,10,15,no,5,waffles,7,1,75,1,16:15:00,6:45:00,100,6,2,0,0,3.8,A-,1,3,25,25,25,25,0,n/a,n/a,English,3,6,7,6,3,5,6,4,2,0,
1010,F,10,16,no,5,bagel,7,2,10,1,18:30:00,7:10:00,85,1,1,3,0,4,A,0,1,0,0,100,0,0,50,n/a,n/a,1,1,2,6,1,1,3,2,1,1,softball
1011,M,10,16,no,3.5,bacon,6,2.5,5,1,16:15:00,6:50:00,90,1.5,2,0,0,3,B,0,6.5,50,50,0,0,0,50,History,Chemtry,6,2,6,6,5,5,5,6,1,1,
1012,F,10,15,vegeterian,2,oatmeal,7.5,3,95,1,17:00:00,6:00:00,100,4,2,1,0,3.3,B+,0,0.5,99,0,0,1,0,87,math,History,5,7,7,7,1,7,6,6,2,0,
1013,F,10,16,no,5,cereal,8,2.5,50,1,17:00:00,7:10:00,90,0,0,0,0,4,A,0,6,0,20,80,0,0,85,n/a,n/a,4,6,6,5.5,4,5,6,4,2,0,
1014,M,10,16,no,5,,,1,100,0.25,18:00:00,6:00:00,1,0,2,0,0,3,B,0,0,0,0,0,100,0,50,n/a,n/a,2,5,5,7,1,1,5,1,0,0,
1015,M,10,15,no,5,cereal,6,1,99,0,18:30:00,6:30:00,100,0,12,1,600,3.95,A,0,2,0,,,100,0,90,n/a,History,7,2,5,6,1,2,4,7,2,0,
1016,M,10,16,no,5,eggs,6.5,2,50,1,21:00:00,6:20:00,80,0,0,2,0,4.1,A,0,7,0,0,0,100,0,90,English,n/a,4,7,7,6,1,4,7,,1,4,
1017,F,10,16,no,0,,6,4,10,0,15:30:00,6:00:00,90,2,8,0,0,3.8,A-,0,8,0,0,100,0,0,85,History,Latin,4,7,5,7,2,7,7,1,1,1,
1018,F,10,15,no,5,toast,6,3,25,2.5,18:00:00,5:40:00,50,0,2,0,0,3.5,B+,0,7,90,0,0,10,0,60,,Science,4,6.5,7,7,4.5,7,7,6,2,0,
1019,,,,,,,,,,,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disregard this answer because answers are so obviously fake
1020,F,10,16,no,4,toast,7,2,35,0.5,16:00:00,7:00:00,90,2,0,"""many""",0,3.66,A-,0,6,100,0,0,0,0,90,English,Spanish,4,7,7,5,2,7,7,6,1,2,
1021,M,10,16,no,5,cereal,5,2.5,50,1,18:00:00,6:00:00,100,0,"""many""",1,0,3.4,B+,0,6.5,100,0,0,0,0,75,Math,Spanish,6,3.5,6,5,1,1,6,2,2,0,
1022,F,10,15,no,5,toast,8,3,60,0.15,15:50:00,6:55:00,90,0,0,1,30,3.66,A-,0,5,0,0,100,0,0,,Languages,,4,7,7,6,2,5,5,4,1,0,
1023,M,10,16,vegeterian,5,bagel,8,1,70,0.5,19:20:00,7:00:00,100,0,0,3,0,3,B,0,0,0,0,0,100,0,,,,3,5,5,5,1,6,7,1,3,0,
