,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
1024,F,10,16,no,5,fruit,7,3,10,1,17:30:00,6:00:00,100,1,0,0,0,3.66,A-,0,8,1,50,0,49,0,70,,,6,4,7,6,1,6,6,5,2,0,
1025,F,10,15,no,5,creal,7,3,15,0.25,17:40:00,6:50:00,100,0,4,0,0,4,A,0,5,0,0,99,1,0,50,math,English,5,7,6,6.5,1,7,6,5,2,0,soccer
1026,F,10,15,no,5,cereal,7.5,1.5,10,1.5,18:30:00,6:00:00,95,0,2,0,0,4,A,0,7,50,50,0,0,0,70,,French,3,7,6,6,3,5,4,4,3,0,
1027,M,10,16,vegeterian,5,toast,7.5,2,70,0.666666666666667,17:30:00,6:00:00,90,0,2,0,0,3.81,A-,0,6,90,0,0,9,1,,math,latin,6,7,6,7,5,5,7,5,1,1,
1028,F,10,15,vegeterian,3,bagel,6,2,20,1.5,18:30:00,5:00:00,100,2,0,0,0,3.2,B+,0,6,50,0,0,50,0,10,History,Math,2,6,6,6,1,7,3,3,3,0,
1029,M,10,15,no,5,cereal,4,2,25,2,17:00:00,6:30:00,100,2,5,0,0,2.66,B-,0,5,100,0,0,0,0,80,Science,French,2,7,7,7,1,7,7,1,2,0,
1030,F,10,16,no,5,yogurt,6.5,3,35,2,19:00:00,6:10:00,85,0,0,1,0,3.3,B+,0,6,0,0,0,100,0,80,Math,Science,6,6,5,6.5,2,7,4,5,2,1,Basketball
1031,F,10,15,no,3,toast,6,2,35,1,17:00:00,5:30:00,75,0.5,0,0,0,3.66,A-,0,5,100,0,0,0,0,93,English,Science,5,1,1,1,3,1,1,2,2,0,
1032,F,10,17,no,5,Rasien Brane,8,2,10,0,15:25:00,7:19:00,9,1,2,1,7,3,B,2,7,0,0,0,100,0,9,science,,7,7,7,7,7,7,7,7,1,0,
1033,F,10,15,no beef,0,,7.5,4,85,1,17:00:00,6:10:00,95,1,7,0,0,3.66,A-,0,8,95,0,0,5,0,90,History,English,3,6,6,6,5,7,6,6,2,0,
1034,F,10,15,vegeterian,5,cereal,6.5,2,60,1,18:00:00,6:35:00,100,0,0,0,0,4,A,0,3,0,0,0,100,0,70,Math,Spanish,6,6,7,6,6,7,5,5,3,0,
1035,M,10,15,no,5,cereal,7,3,99,1,18:30:00,6:00:00,100,1,1,0,0,4,A,0,7,66,0,17,17,0,75,English,Math,6,6,5,7,6,6,6,6,1,2,
1036,M,10,15,no,5,toast,6.5,2,40,1.5,16:30:00,6:30:00,90,0,1,1,0,3.8,A-,0,1,50,0,0,50,0,80,Ceramics,Spanish,5,2,2,4,1,6,4,2,1,4,Swim
1037,F,10,15,no,3,toast,8,2,40,1,16:30:00,6:30:00,70,0,7,1,14,3.33,B+,0,6,80,0,0,20,0,,History,Chemistry,5,6,6,6,6,6,6,5,1,0,Soccer
1038,M,10,15,no,5,Eggs,7,2,95,1.5,18:30:00,6:45:00,90,0,6,0,0,3.33,B+,0,7,50,0,0,50,0,85,Chemistry,History,4,6,6,5,1,4,5,6,0,0,
1039,F,10,15,no,5,yogurt,7,2.5,3,1,17:30:00,6:30:00,98,0,0.5,33,0,3,B,0,6,0,0,0,100,0,80,Spanish,math,5,7,7,7,1,3,7,1,1,0,
1040,M,10,15,Vegeterian,5,toast,9,3,20,0.2,15:50:00,6:00:00,100,0,6,0,30,3.66,A-,0,2,25,25,0,50,0,95,History,Latin,6,7,7,7,6,6,7,7,1,1,
1041,M,10,16,no,5,cereal,10,2,40,0.5,15:50:00,7:20:00,90,1,0,1,0,3,B,0,7,0,0,50,50,0,100,History,Chemistry,1,7,7,7,1,1,5,3,1,0,
1042,,,,,,,,,,,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horribly written and no response makes any sense. Discard.
1043,F,10,16,vegeterian,5,eggs,,4,15,1,15:50:00,7:15:00,75,2,14,over 50,0,3.66,A-,0,7,0,0,50,50,0,,Spanish,Chemistry,5,6,4,6,5,7,6,7,0,3,Sailing
1044,F,10,16,no,5,cereal,7,2,5,0.75,16:30:00,7:00:00,90,0,0,0,0,3.66,A-,0,4,0,50,0,50,0,90,Science,French,2,7,6,7,2,6,6,7,1,2,
1045,F,10,16,no,3,bagel,7.5,2,40,1,16:45:00,7:00:00,90,0,10,10,0,2.66,B-,0,7,17,16,16,50,0,70,English,History,5,7,6,7,2,6,7,1,1,1,Dance
1046,F,10,15,no,4,cereal,6,2,5,1,18:30:00,3:30:00,99,0,0,0,0,2,C,0,8,0,50,0,50,0,,,,3,5,6,7,6,7,7,7,,,
1047,M,10,16,no,3,bagel,7.5,1.5,10,2,16:00:00,6:30:00,90,0,4,0,0,3,B,0,7,0,0,0,100,0,85,English,Chemistry,5,7,7,6,3,6,5,2,1,2,
1048,F,10,16,no,5,cereal,8,3,40,2,16:30:00,6:20:00,95,0,2,0,0,3.33,B+,0,8,0,100,0,0,0,70,English,Math,5,7,5,6,3,,7,5,2,0,
1049,F,10,15,no,5,cereal,8.5,2,20,25,16:30:00,7:00:00,90,0,0,0,0,3.66,A-,0,5,0,0,0,100,0,80,History,Math,4,7,6,6,2,4,4,4,3,0,
1050,F,10,15,no,5,yogurt,9,1,45,30,17:00:00,7:00:00,70,1,21,0,0,3.6,A-,0,3,1,1,0,98,0,70,Chemistry,Latin,3,7,4,5,3,3,7,1,2,0,yoga
1051,F,10,15,no,5,sandwich,8,3.5,5,1.25,16:00:00,6:00:00,75,0,12,0,0,3.66,A-,0,7,0,0,0,100,0,100,,,3,7,6,7,4,6,4,4,1,0,
1052,F,10,15,no,5,cereal,2,2,50,0.25,17:45:00,6:45:00,92,0,0,0,0,3.66,A-,0,7,0,0,0,100,0,,History,Math,5,,,,,5,7,2,3,0,horseback riding
1053,F,10,16,no,5,eggs,7,2,10,1,16:15:00,6:30:00,75,0,2,0,0,3.66,A-,1,6,100,0,0,0,0,90,Math,,5,7,7,7,1,5,6,,2,0,tennis
1054,F,10,15,vegeterian,2.5,bagel,8.5,3,15,0.75,18:30:00,5:45:00,85,1,1,1,0,3.66,A-,0,6,0,50,0,50,0,95,Language,Science,4,3.5,7,7,3,6,7,1,1,1,
1055,F,10,16,vegan,5,cereal,7,3,70,4,18:30:00,5:00:00,95,0,5,0,0,3.5,A-,0,6,50,50,0,0,0,50,Math,English,0,2,2,3,5,4,6,1,1,2,
1056,M,10,15,no,5,bacon,5,1,60,2,18:30:00,5:45:00,50,5,2,7,0,3,B,0,3,100,0,0,0,0,50,Math,Chemistry,2,5,3,7,1,2,1,1,0,2,
1057,,,,,,,,,,,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discard this answer due to invalid answers
1058,F,10,15,no,3,oatmeal,7,3,50,3,18:00:00,5:30:00,90,3,5,1,0,3.6,A-,0,7,50,0,0,50,0,80,Chemistry,Math,1,6,6,4,6,7,6,1,2,0,
1059,M,10,16,no,5,cereal,6,0.5,60,3,19:30:00,6:30:00,100,0,0,0,0,4.15,A+,3,6,100,0,0,0,0,60,math,History,7,5,6,6,3,4,5,3,2,0,
mean,,,15.4821428571429,#DIV/0!,4.35714285714286,#DIV/0!,6.9537037037037,2.36607142857143,40.9107142857143,2.14761904761905,,6:18:06,86.2321428571429,0.732142857142857,3.31818181818182,1.2962962962963,12.6964285714286,3.52272727272727,#DIV/0!,0.125,5.59821428571429,32.8392857142857,10.4909090909091,12.4909090909091,44.5535714285714,0.017857142857143,74.4375,#DIV/0!,#DIV/0!,4.25,5.66363636363636,5.72727272727273,5.97272727272727,2.93636363636364,5.07407407407407,5.66071428571428,3.94444444444444,1.52727272727273,0.8,
sd,,,0.539058823862865,#NUM!,1.23109074222188,#NUM!,1.2895388912559,0.871211650668045,29.8586225010856,5.03425982700258,,0:43:51,19.8567516078432,1.317588312425,4.4277780946225,4.72100736623673,80.2176402370127,0.435539063798284,#NUM!,0.506772317533409,2.27120241053289,40.3240405558923,21.2366495991078,29.2782770739248,41.8581672894451,0.133630620956212,20.2168102057079,#NUM!,#NUM!,1.69759187728328,1.71338560624578,1.45874813725541,1.19186354946308,1.91014481091178,1.9215937945858,1.4557320646863,2.17547797104814,0.857527571191466,1.28235893744476,
min,,,15,0,0,0,2,0.5,0,0,,3:30:00,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,1,1,1,1,1,1,1,0,0,
q1,,,15,#NUM!,4,#NUM!,6.125,2,13.75,0.729166666666667,,6:00:00,85,0,0,0,0,3.3,#NUM!,0,5,0,0,0,0,0,70,#NUM!,#NUM!,3,5,5,6,1,4,5,2,1,0,
med,,,15,0,5,0,7,2,40,1,,6:30:00,90,0,2,0,0,3.66,0,0,6,0.5,0,0,50,0,80,0,0,4.5,6,6,6,2,6,6,4,1,0,
q3,,,16,#NUM!,5,#NUM!,7.875,3,60,1.5,,6:50:00,100,1,4.5,1,0,3.8,#NUM!,0,7,54,5.5,0,100,0,90,#NUM!,#NUM!,5.25,7,7,7,5,6.75,7,6,2,1,
max,,,17,0,5,0,10,4,100,30,,7:20:00,100,6,21,33,600,4.2,0,3,10,100,100,100,100,1,100,0,0,7,7,7,7,7,7,7,7,3,6,
iqr,,,1,#NUM!,1,#NUM!,1.75,1,46.25,0.770833333333333,,0:50:00,15,1,4.5,1,0,0.5,#NUM!,0,2,54,5.5,0,100,0,20,#NUM!,#NUM!,2.25,2,2,1,4,2.75,2,4,1,1,
