serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around(pm),wake up around(am),% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter grade,stress,metro%,bus%,walk%,driven%,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside,
814,F,8,13,no,5,cereal; toast; waffle,9,0.167,90,1,16:30:00,5:00:00,98,2,2,1,0,3.66,A-,6,33,33,33,0,80,N/A,science,3,5,5,7,6,5,5,6,1,3,dance; gymN/Astics,
815,M,8,14,no,4,toast,8.5,1.5,10,1,17:45:00,7:00:00,100,1,4,5,0,3.66,A-,3,2.5,2.5,0,95,80,N/A,N/A,4,7,5,7,3,7,5,4,3,N/A,N/A,
816,M,8,13,no,5,oatmeal,9.5,1,1,1,15:20:00,6:30:00,100,0,0,0,0,4,A,2,0,0,0,100,50,latin,english,2,2,3,5,5,4,5,5,2,0,soccer,
817,M,8,13,no,5,oatmeal,9,1.5,5,1,15:30:00,6:30:00,100,0,5,1,0,4,A,4,0,0,0,100,75,math,english,2,5,6,7,3,2,3.5,2,N/A,N/A,N/A,
818,F,8,14,no,0,N/A,7,1.5,2,0.5,16:30:00,7:00:00,90,0,2,1,0,3.33,B+,9,0,0,0,100,75,science,chorus,3,6,4,6,1,6,4,5,3,3,basketball,
819,F,8,13,vegetarian,3,oatmeal; panckaes; toast,8,4,20,15,17:00:00,6:50:00,70,1,0,2,0,3,B,8.5,33,0,33,33,50,chorus,science,3,4,7,7,3,6,5,3,1,0,N/A,
820,M,8,14,no,5,energy bar,8.5,1,10,0.5,15:30:00,6:45:00,95,0,2,0,30,4,A,3,0,0,0,100,80,science,N/A,5,7,7,7,3,7,4,2,1,1,N/A,
821,F,8,14,no,5,sandwich,9,2,2,95,16:30:00,7:00:00,70,0,7,0,0,4,A,5,0,0,50,50,80,science,english,5,7,6,6,5,6,7,6,1,1,horseback riding; soccer,
822,M,8,13,no,2,bagel,8,11,20,0.66,16:10:00,6:15:00,90,1,0,1,0,4,A,3,0,0,0,100,60,N/A,N/A,4,7,7,6,3,5,3,3,1,0,soccer; basketball,
823,F,8,14,kosher,5,wafle; energy bar,8,2,10,1,16:00:00,6:15:00,100,0,1,2,4,3.66,A-,9,70,0,0,30,20,math,history,2,4,6,6,1,7,1,3,0,1,dance,
824,F,8,13,no,1,cereal,8,1,10,0.25,18:00:00,6:30:00,75,2,2,3,0,4,A,5,0,0,0,100,30,math,history,7,7,5,6,5,6,5,1,0,0,biking,
825,F,8,14,vegetarian,2,oatmeal,5,2,10,0.5,15:30:00,7:15:00,10,0,5,30,50,,P,10,5,0,0,95,80,N/A,N/A,2,4,3,3,3,5,5,5,N/A,N/A,dance,
826,F,8,13,no,1,waffle,8,2,90,1,18:30:00,5:00:00,95,2,2,1,3,3.33,B+,10,90,0,0,10,100,math,science,1,6,5,6,1,7,2,3,N/A,1,tennis; dance,
827,M,8,14,no,5,cereal; toast,7,1,20,2,17:30:00,6:20:00,80,1,3,0,0,4,A,3,100,0,0,0,80,math,english,4,5,6,7,4,7,7,5,2,0,N/A,
828,F,8,14,vegetarian,4,oatmeal,7,3,25,1,16:30:00,6:00:00,100,0,1,0,0,4,A,8,24,50,24,2,96,english,math,7,7,5,6,5,4,6,7,0,0,rockclimb,
829,M,8,14,no,4,cereal,6,2,46,15,16:45:00,6:30:00,8,0,18,30,0,3.33,B+,1,0,0,0,100,100,history,math,2,3,6,7,1,6,6,4,0,0,N/A,pain in the ass
